ID_IBGE;Municipio;Populacao_2022;Privatizacao;Escolas
3517000;Getulina;10011;;
3517109;Glicério;4132;;
3517307;Guaimbê;5439;;
3517406;Guaíra;39351;;
3517208;Guaiçara;11214;;
3517604;Guapiara;16579;;
3517505;Guapiaçu;21664;;
3517703;Guará;18607;;
3517901;Guaraci;10347;;
3518008;Guarani d'Oeste;1948;;
3518107;Guarantã;6427;;
3518206;Guararapes;31017;;
3518305;Guararema;32579;;
3518404;Guaratinguetá;116847;;
3517802;Guaraçaí;7344;;
3518503;Guareí;15027;;
3518602;Guariba;37022;;
3518701;Guarujá;311116;;
3518800;Guarulhos;1383272;;
3518859;Guatapará;7435;;
3518909;Guzolândia;4238;;
3519006;Herculândia;9109;;
3519055;Holambra;16194;;
3519071;Hortolândia;246449;;
3519105;Iacanga;10104;;
3519204;Iacri;6144;;
3519253;Iaras;8009;;
3519303;Ibaté;32068;;
3519402;Ibirá;11155;;
3519501;Ibirarema;6321;;
3519600;Ibitinga;59371;;
3519709;Ibiúna;84820;;
3519808;Icém;7700;;
3519907;Iepê;7596;;
3520103;Igarapava;25926;;
3520202;Igaratá;11703;;
3520004;Igaraçu do Tietê;22743;;
3520301;Iguape;30054;;
3520426;Ilha Comprida;13447;;
3520442;Ilha Solteira;25564;;
3520400;Ilhabela;38239;;
3520509;Indaiatuba;266593;;
3520608;Indiana;5094;;
3520707;Indiaporã;4087;;
3520806;Inúbia Paulista;3611;;
3520905;Ipaussu;14464;;
3521002;Iperó;40132;;
3521101;Ipeúna;7538;;
3521150;Ipiguá;6551;;
3521200;Iporanga;4053;;
3521309;Ipuã;14463;;
3521408;Iracemápolis;21768;;
3521507;Irapuã;6927;;
3521606;Irapuru;7065;;
3521705;Itaberá;17971;;
3521804;Itaí;24856;;
3521903;Itajobi;16824;;
3522000;Itaju;3652;;
3522109;Itanhaém;107927;;
3522158;Itaoca;3407;;
3522208;Itapecerica da Serra;172898;;
3522307;Itapetininga;166959;;
3522406;Itapeva;95528;;
3522505;Itapevi;239084;;
3522604;Itapira;70438;;
3522653;Itapirapuã Paulista;4339;;
3522703;Itápolis;39533;;
3522802;Itaporanga;14058;;
3522901;Itapuí;13655;;
3523008;Itapura;3945;;
3523107;Itaquaquecetuba;392218;;
3523206;Itararé;44490;;
3523305;Itariri;15225;;
3523404;Itatiba;116275;;
3523503;Itatinga;19219;;
3523602;Itirapina;16157;;
3523701;Itirapuã;5793;;
3523800;Itobi;8044;;
3523909;Itu;176548;;
3524006;Itupeva;72711;;
3524105;Ituverava;37375;;
3524204;Jaborandi;6223;;
3524303;Jaboticabal;72001;;
3524402;Jacareí;251591;;
3524501;Jaci;7618;;
3524600;Jacupiranga;16850;;
3524709;Jaguariúna;60816;;
3524808;Jales;48766;;
3524907;Jambeiro;6421;;
3525003;Jandira;127476;;
3525102;Jardinópolis;45328;;
3525201;Jarinu;40302;;
3525300;Jaú;132351;;
3525409;Jeriquara;3785;;
3525508;Joanópolis;12820;;
3525607;João Ramalho;4381;;
3525706;José Bonifácio;36502;;
3525805;Júlio Mesquita;4254;;
3525854;Jumirim;3052;;
3525904;Jundiaí;459789;;
3526001;Junqueirópolis;20395;;
3526100;Juquiá;19390;;
3526209;Juquitiba;26372;;
3526308;Lagoinha;5071;;
3526407;Laranjal Paulista;28981;;
3526506;Lavínia;9596;;
3526605;Lavrinhas;7258;;
3526704;Leme;97516;;
3526803;Lençóis Paulista;65696;;
3526902;Limeira;305169;;
3527009;Lindóia;6994;;
3527108;Lins;74068;;
3527207;Lorena;84988;;
3527256;Lourdes;1926;;
3527306;Louveira;53526;;
3527405;Lucélia;20046;;
3527504;Lucianópolis;2361;;
3527603;Luís Antônio;13680;;
3527702;Luiziânia;4711;;
3527801;Lupércio;3935;;
3527900;Lutécia;2555;;
3528007;Macatuba;16489;;
3528106;Macaubal;7460;;
3528205;Macedônia;3961;;
3528304;Magda;3159;;
3528403;Mairinque;48097;;
3528502;Mairiporã;113573;;
3528601;Manduri;9852;;
3528700;Marabá Paulista;4531;;
3528809;Maracaí;12700;;
3528858;Marapoama;3295;;
3528908;Mariápolis;3450;;
3529005;Marília;238605;;
3529104;Marinópolis;1889;;
3529203;Martinópolis;24896;;
3529302;Matão;77149;;
3529401;Mauá;383280;;
3529500;Mendonça;6170;;
3529609;Meridiano;4545;;
3529658;Mesópolis;1930;;
3529708;Miguelópolis;19119;;
3529807;Mineiros do Tietê;11233;;
3530003;Mira Estrela;3075;;
3529906;Miracatu;20234;;
3530102;Mirandópolis;27936;;
3530201;Mirante do Paranapanema;15482;;
3530300;Mirassol;63555;;
3530409;Mirassolândia;4605;;
3530508;Mococa;65469;;
3530607;Mogi das Cruzes;471602;;
3530706;Mogi Guaçu;154487;;
3530805;Mogi Mirim;90997;;
3530904;Mombuca;3724;;
3531100;Mongaguá;61062;;
3531209;Monte Alegre do Sul;8057;;
3531308;Monte Alto;47478;;
3531407;Monte Aprazível;21470;;
3531506;Monte Azul Paulista;18152;;
3531605;Monte Castelo;4219;;
3531803;Monte Mor;68781;;
3531704;Monteiro Lobato;4127;;
3531001;Monções;1948;;
3531902;Morro Agudo;26806;;
3532009;Morungaba;14590;;
3532058;Motuca;4034;;
3532108;Murutinga do Sul;3675;;
3532157;Nantes;2627;;
3532207;Narandiba;5703;;
3532306;Natividade da Serra;6963;;
3532405;Nazaré Paulista;21214;;
3532504;Neves Paulista;9719;;
3532603;Nhandeara;9670;;
3532702;Nipoã;4756;;
3532801;Nova Aliança;6712;;
3532827;Nova Campina;8445;;
3532843;Nova Canaã Paulista;2031;;
3532868;Nova Castilho;1059;;
3532900;Nova Europa;9638;;
3533007;Nova Granada;19358;;
3533106;Nova Guataporanga;2151;;
3533205;Nova Independência;4619;;
3533304;Nova Luzitânia;2837;;
3533403;Nova Odessa;61935;;
3533254;Novais;4410;;
3533502;Novo Horizonte;38539;;
3533601;Nuporanga;7370;;
3533700;Ocauçu;4329;;
3533809;Óleo;2508;;
3533908;Olímpia;56037;;
3534005;Onda Verde;4770;;
3534104;Oriente;6073;;
3534203;Orindiúva;6022;;
3534302;Orlândia;37916;;
3534401;Osasco;777048;;
3534500;Oscar Bressane;2475;;
3534609;Osvaldo Cruz;31222;;
3534708;Ourinhos;108678;;
3534807;Ouro Verde;7766;;
3534757;Ouroeste;10288;;
3534906;Pacaembu;12682;;
3535002;Palestina;11259;;
3535101;Palmares Paulista;9475;;
3535200;Palmeira d'Oeste;8904;;
3535309;Palmital;19559;;
3535408;Panorama;14942;;
3535507;Paraguaçu Paulista;41062;;
3535606;Paraibuna;18107;;
3535705;Paraíso;6099;;
3535804;Paranapanema;19412;;
3535903;Paranapuã;4044;;
3536000;Parapuã;10577;;
3536109;Pardinho;7107;;
3536208;Pariquera-Açu;19260;;
3536257;Parisi;2895;;
3536307;Patrocínio Paulista;14527;;
3536406;Paulicéia;7944;;
3536505;Paulínia;115870;;
3536570;Paulistânia;2098;;
3536604;Paulo de Faria;7416;;
3536703;Pederneiras;43897;;
3536802;Pedra Bela;6558;;
3536901;Pedranópolis;2774;;
3537008;Pedregulho;15580;;
3537107;Pedreira;43084;;
3537156;Pedrinhas Paulista;2790;;
3537206;Pedro de Toledo;11387;;
3537305;Penápolis;62093;;
3537404;Pereira Barreto;23871;;
3537503;Pereiras;9520;;
3537602;Peruíbe;69321;;
3537701;Piacatu;5511;;
3537800;Piedade;51542;;
3537909;Pilar do Sul;29785;;
3538006;Pindamonhangaba;164932;;
3538105;Pindorama;14590;;
3538204;Pinhalzinho;14971;;
3538303;Piquerobi;3267;;
3538501;Piquete;12597;;
